request_id,pax_id,origin,destination,origin_lon,origin_lat,dest_lon,dest_lat,geometry_wkt,treq,treq_time,start_x,start_y,end_x,end_y,mode,main_mode,travel_time,distance,origin_cluster,destination_cluster,od_cluster,temporal_cluster,cluster,trip_number,trip_id,ttrav_base,wait_time,traveled_distance,euclidean_distance,longest_distance_mode,modes,start_activity_type,end_activity_type,start_facility_id,end_facility_id,first_pt_boarding_stop,last_pt_egress_stop,base_score,subpopulation,withinArea,walking_distance,fare,detour_factor,commute,index,max_detour,max_cost,max_walking_distance,RegioStaRGem5,age,bikeAvail,bikeSharingAvail,carAvail,carSharingAvail,drtAvail,eBikeAvail,eScooterSharingAvail,econStatus,employed,gkz,hasLicense,hasSeasonTicket,hasSmartphone,hheink_gr2,homeX,homeY,netIncomeHH,occupation,personsBelow14InHH,personsInHH,rideAvail,sex,sim_carAvailability,sim_ptAbo,sim_regionType,vehicles,origin_shape_index,destination_shape_index,network_utility,max_absolute_detour,max_travel_time,max_positive_delay,positive_delay_rel_component,max_negative_delay,negative_delay_rel_component,earliest_departure,latest_departure,earliest_arrival,latest_arrival,earliest_departure_time,latest_departure_time,earliest_arrival_time,latest_arrival_time
0,361f914,78627802,125724733,11.997460000026814,47.878130042215616,11.574240000012022,48.18802004207482,"LINESTRING (11.997460000026814 47.878130042215616, 11.574240000012022 48.18802004207482)",21240.0,05:54:00,724112.9846934704,5307105.10531925,691320.8584112191,5340402.638020488,,car,3615.0,56428.6,55,343,0,24,0_24,1,361f914_1,2760.0,0.0,63294.0,46733.0,car,"['walk', 'car', 'walk']",home,work,150161home,150162work,nan,nan,-2.7489720269580005,default,False,,,,True,0,1.1,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,343,2.41,361.50000000000034,3976.5000000000005,1200.0,0.0,1200.0,0.0,20040.0,22440.0,23655.0,26055.0,05:34:00,06:14:00,06:34:15,07:14:15
1,33de07f,3108560,199999,12.115820000032803,47.8712600422186,11.535020000011176,48.13800004209848,"LINESTRING (12.115820000032803 47.8712600422186, 11.535020000011176 48.13800004209848)",23580.0,06:33:00,732992.4499627146,5306692.133747279,688589.5589423964,5334746.634344391,,car,3787.0,71732.5,47,223,1,27,1_27,1,33de07f_1,2580.0,0.0,73262.0,52523.0,car,"['walk', 'car', 'walk']",home,errands,65279home,65280errands,nan,nan,-3.4320409263819998,default,False,,,,False,1,1.3,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,223,2.74,1136.1000000000001,4923.1,1200.0,0.0,1200.0,0.0,22380.0,24780.0,26167.0,28567.0,06:13:00,06:53:00,07:16:07,07:56:07
2,362013e,18542793,114569184,11.985890000026338,47.85321004222627,11.401660000008544,48.137560042098684,"LINESTRING (11.985890000026338 47.85321004222627, 11.401660000008544 48.137560042098684)",23640.0,06:34:00,723355.1221664443,5304302.258907212,678670.5887934312,5334379.241397287,,car,3765.0,70181.8,55,222,2,27,2_27,1,362013e_1,4800.0,0.0,67690.0,53864.0,car,"['walk', 'car', 'walk']",home,work,150249home,150250work,nan,nan,-3.293708395033999,default,False,,,,True,2,1.2,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,222,2.71,752.9999999999999,4518.0,1200.0,0.0,1200.0,0.0,22440.0,24840.0,26205.0,28605.0,06:14:00,06:54:00,07:16:45,07:56:45
3,362075e,1058681,454899,11.573000000012144,48.032450042147254,11.595370000012563,48.15035004209269,"LINESTRING (11.573000000012144 48.032450042147254, 11.595370000012563 48.15035004209269)",25080.0,06:58:00,691807.0891395553,5323110.133241723,693032.5504070726,5336268.957402827,,car,1680.0,21914.2,318,326,3,28,3_28,1,362075e_1,1200.0,0.0,21869.0,13215.0,car,"['walk', 'car', 'walk']",leisure,leisure,150312leisure,150313leisure,nan,nan,-1.793166504126,default,False,,,,False,3,1.4,0.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,326,1.05,671.9999999999999,2352.0,1200.0,0.0,1200.0,0.0,23880.0,26280.0,25560.0,27960.0,06:38:00,07:18:00,07:06:00,07:46:00
4,36510a8,84787477,117888235,12.211340000038728,47.78015004225718,11.729451045858763,48.14678722667059,"LINESTRING (12.211340000038728 47.78015004225718, 11.729451045858763 48.14678722667059)",26163.0,07:16:03,740555.4365123819,5296860.262275784,703018.1847226581,5336218.407758022,,car,3412.0,78677.4,18,327,4,30,4_30,1,36510a8_1,3539.0,0.0,81182.0,54388.0,car,"['walk', 'car', 'walk']",home,educ_higher,157709home,educ_higher36510a8117888235,nan,nan,-3.2944919357599995,default,False,,,,False,4,1.4,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,327,2.71,1364.7999999999997,4776.799999999999,1200.0,0.0,1200.0,0.0,24963.0,27363.0,28375.0,30775.0,06:56:03,07:36:03,07:52:55,08:32:55
6,3620251,18542783,75531709,11.986850000026385,47.85402004222596,11.684480000014895,48.14870004209345,"LINESTRING (11.986850000026385 47.85402004222596, 11.684480000014895 48.14870004209345)",26607.0,07:23:27,723423.4448197067,5304395.050058563,699666.0563372984,5336313.197517547,,car,3333.0,50803.1,55,329,5,30,5_30,1,3620251_1,2640.0,0.0,56335.0,39789.0,car,"['walk', 'car', 'walk']",home,work,150258home,150259work,nan,nan,-3.056033608394,default,False,,,,True,6,1.5,0.0,100.0,54,62,True,True,True,True,True,True,True,high,False,09187117,True,False,True,9,723423.4448197067,5304395.050058563,6069.788236642098,parttime,1,3,False,female,always,none,214,"{""car"":""3620251"",""bike"":""3620251_bike""}",55,329,2.21,1666.5,4999.5,1200.0,0.0,1200.0,0.0,25407.0,27807.0,28740.0,31140.0,07:03:27,07:43:27,07:59:00,08:39:00
9,363d9e9,47804102,34399,12.059590000029866,47.860690042223126,11.658250000014194,48.134750042100016,"LINESTRING (12.059590000029866 47.860690042223126, 11.658250000014194 48.134750042100016)",28620.0,07:57:00,728834.686551492,5305349.316534254,697768.8874816725,5334695.057308842,,pt,3372.0,65244.4,45,329,6,32,6_32,1,363d9e9_1,2819.0,0.0,60881.0,42734.0,pt,"['walk', 'pt', 'walk', 'pt', 'walk', 'pt', 'walk']",business,business,154814business,154815business,8003397.1,8004162.1,-5.523866666666667,default,False,,,,False,9,1.9,0.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,329,2.46,3034.7999999999997,6406.799999999999,1200.0,0.0,1200.0,0.0,27420.0,29820.0,30792.0,33192.0,07:37:00,08:17:00,08:33:12,09:13:12
10,36233a8,81807243,104423071,12.023000000028025,47.87671004221623,11.56172000001177,48.14611004209468,"LINESTRING (12.023000000028025 47.87671004221623, 11.56172000001177 48.14611004209468)",28740.0,07:59:00,726028.5550101151,5307021.778905377,690545.693827956,5335713.786653866,,car,3796.0,54453.0,45,326,7,32,7_32,1,36233a8_1,3420.0,0.0,57027.0,45631.0,car,"['walk', 'car', 'walk']",home,work,150722home,150723work,nan,nan,-3.395963546445999,default,False,,,,True,10,1.5,0.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,326,2.45,1898.0,5694.0,1200.0,0.0,1200.0,0.0,27540.0,29940.0,31336.0,33736.0,07:39:00,08:19:00,08:42:16,09:22:16
11,361efd6,35617708,121808,11.973350000025757,47.85961004222356,11.393740000008377,48.17609004208048,"LINESTRING (11.973350000025757 47.85961004222356, 11.393740000008377 48.17609004208048)",29519.0,08:11:59,722389.7781690917,5304977.281977895,677948.0648898536,5338643.027725652,,car,4029.0,77229.9,55,241,8,33,8_33,1,361efd6_1,3781.0,0.0,78065.0,55753.0,car,"['walk', 'car', 'walk']",home,errands,150083home,150084errands,nan,nan,-3.723421441486,default,False,,,,False,11,1.4,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,241,2.93,1611.5999999999997,5640.599999999999,1200.0,0.0,1200.0,0.0,28319.0,30719.0,32348.0,34748.0,07:51:59,08:31:59,08:59:08,09:39:08
12,3622e38,138146129,107315788,11.998220000026883,47.86426004222156,11.565810000011878,48.1384200420983,"LINESTRING (11.998220000026883 47.86426004222156, 11.565810000011878 48.1384200420983)",29820.0,08:17:00,724229.6760976365,5305565.96405274,690878.4183496733,5334869.292469007,,car,3356.0,50887.1,55,326,9,34,9_34,1,3622e38_1,2820.0,0.0,52971.0,44395.0,car,"['walk', 'car', 'walk']",home,work,150679home,150680work,nan,nan,-2.9017568727839995,default,False,,,,True,12,1.3,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,326,2.22,1006.8000000000002,4362.8,1200.0,0.0,1200.0,0.0,28620.0,31020.0,31976.0,34376.0,07:57:00,08:37:00,08:52:56,09:32:56
